"仓库代码","仓库纬度","仓库经度","收件人区","avg(`目的地网点纬度`)","avg(`目的地网点经度`)",distance
"024DCB",22.643,113.828,"丬乡镇",22.3582,113.441,50.8437515884
"024DCB",22.643,113.828,"丬水区",23.1558,112.897,111.145189578
"024DCB",22.643,113.828,"丬角镇",22.5206,113.306,55.3121658737
"024DCB",22.643,113.828,"中堂镇",23.1007,113.667,53.5169650709
"024DCB",22.643,113.828,"中山市",22.5257,113.382,47.6262617989
"024DCB",22.643,113.828,"五桂山街道",22.4461,113.403,48.8453463315
"024DCB",22.643,113.828,"从化区",23.5468,113.587,103.509341862
"024DCB",22.643,113.828,"从化市",23.5237,113.599,100.723571428
"024DCB",22.643,113.828,"企石镇",23.0588,114.028,50.5890672898
"024DCB",22.643,113.828,"光明新区",22.7489,113.936,16.1732724825
"024DCB",22.643,113.828,"凤岗镇",22.7542,114.086,29.2214161078
"024DCB",22.643,113.828,"南区街道",22.4854,113.354,51.7466437465
"024DCB",22.643,113.828,"南城区",22.9835,113.754,38.6262315531
"024DCB",22.643,113.828,"南城街道",22.9863,113.744,39.144366211
"024DCB",22.643,113.828,"南头镇",22.7106,113.289,55.8268256953
"024DCB",22.643,113.828,"南山区",22.5426,113.945,16.4035700833
"024DCB",22.643,113.828,"南朗镇",22.5348,113.511,34.708248456
"024DCB",22.643,113.828,"南沙区",23.1586,113.364,74.4937333965
"024DCB",22.643,113.828,"南海区",23.0874,113.101,89.4150534892
"024DCB",22.643,113.828,"南湾区",22.2195,113.509,57.398937658
"024DCB",22.643,113.828,"博罗县",23.1926,114.103,67.3116590442
"024DCB",22.643,113.828,"厚街镇",22.9267,113.675,35.2413882992
"024DCB",22.643,113.828,"古镇镇",22.6317,113.193,65.2015675043
"024DCB",22.643,113.828,"台山市",22.3586,112.796,110.66788567
"024DCB",22.643,113.828,"四会市",23.2778,112.803,126.513881402
"024DCB",22.643,113.828,"坦洲镇",22.2781,113.466,55.0636198722
"024DCB",22.643,113.828,"坪山新区",22.6866,114.351,53.8993643036
"024DCB",22.643,113.828,"塘厦镇",22.8064,114.081,31.6871114379
"024DCB",22.643,113.828,"增城区",23.2611,113.811,68.77320515
"024DCB",22.643,113.828,"增城市",23.2008,113.677,63.9434069454
"024DCB",22.643,113.828,"大亚湾区",22.7409,114.535,73.3647559008
"024DCB",22.643,113.828,"大岭山镇",22.902,113.843,28.8495728852
"024DCB",22.643,113.828,"大旺高新技术开发区",23.2955,112.817,126.440767501
"024DCB",22.643,113.828,"大朗镇",22.9219,113.91,32.1415596696
"024DCB",22.643,113.828,"大涌镇",22.4734,113.28,59.3672674301
"024DCB",22.643,113.828,"大鹏新区",22.5969,114.475,66.627391565
"024DCB",22.643,113.828,"天河区",23.1402,113.361,73.1326926125
"024DCB",22.643,113.828,"宝安区",22.6625,113.94,11.6995136976
"024DCB",22.643,113.828,"寮步镇",23.0004,113.855,39.8497991471
"024DCB",22.643,113.828,"封开县",23.4192,111.505,252.974930538
"024DCB",22.643,113.828,"小榄镇",22.6338,113.25,59.3461776439
"024DCB",22.643,113.828,"常平镇",22.971,113.999,40.4777678776
"024DCB",22.643,113.828,"广宁县",23.6225,112.421,180.502811606
"024DCB",22.643,113.828,"开平市",22.3788,112.702,119.375207796
"024DCB",22.643,113.828,"德庆县",23.1382,111.865,208.55217729
"024DCB",22.643,113.828,"怀集县",23.9059,112.186,218.813547396
"024DCB",22.643,113.828,"恩平市",22.3099,112.701,121.614336816
"024DCB",22.643,113.828,"惠东县",22.886,114.764,99.7333190304
"024DCB",22.643,113.828,"惠城区",23.0275,114.432,75.2517107661
"024DCB",22.643,113.828,"惠阳区",22.8068,114.433,64.6886986528
"024DCB",22.643,113.828,"斗门区",22.2061,113.398,65.6985495902
"024DCB",22.643,113.828,"新会区",22.4936,113.016,85.0415446078
"024DCB",22.643,113.828,"望牛墩镇",23.0641,113.661,49.8686102154
"024DCB",22.643,113.828,"板芙镇",22.549,113.334,51.7958393039
"024DCB",22.643,113.828,"桥头镇",22.9725,114.056,43.4711860265
"024DCB",22.643,113.828,"樟木头镇",22.8984,114.067,37.5214221458
"024DCB",22.643,113.828,"横栏镇",22.5744,113.226,62.2836970366
"024DCB",22.643,113.828,"横沥镇",23.0282,113.97,45.2509960029
"024DCB",22.643,113.828,"民众镇",22.567,113.325,52.337623119
"024DCB",22.643,113.828,"江海区",22.5789,113.119,73.148595407
"024DCB",22.643,113.828,"沙溪镇",22.5077,113.328,53.5131458417
"024DCB",22.643,113.828,"沙田镇",22.8716,113.629,32.6063082713
"024DCB",22.643,113.828,"洪梅镇",22.9842,113.614,43.8375922105
"024DCB",22.643,113.828,"海珠区",23.0873,113.306,72.831710535
"024DCB",22.643,113.828,"清溪镇",22.8167,114.18,40.9557425152
"024DCB",22.643,113.828,"港口镇",22.5907,113.392,45.1430837352
"024DCB",22.643,113.828,"火炬开发区",22.5601,113.474,37.5025855243
"024DCB",22.643,113.828,"番禺区",22.9879,113.38,59.8454779458
"024DCB",22.643,113.828,"白云区",23.2591,113.166,96.4035523066
"024DCB",22.643,113.828,"盐田区",22.6661,114.093,27.322737493
"024DCB",22.643,113.828,"石岐区",22.5366,113.388,46.7104133827
"024DCB",22.643,113.828,"石排镇",23.0796,113.942,49.9487527116
"024DCB",22.643,113.828,"石碣镇",23.1046,113.807,51.3887759704
"024DCB",22.643,113.828,"石龙镇",23.098,113.861,50.7224505068
"024DCB",22.643,113.828,"神湾镇",22.325,113.36,59.7041126064
"024DCB",22.643,113.828,"禅城区",23.0062,113.097,85.1372571059
"024DCB",22.643,113.828,"福田区",22.5409,114.069,27.2305531533
"024DCB",22.643,113.828,"端州区",23.0803,112.485,145.9875904
"024DCB",22.643,113.828,"罗湖区",22.5565,114.116,31.100039268
"024DCB",22.643,113.828,"花都区",23.4249,113.224,106.706659963
"024DCB",22.643,113.828,"茶山镇",22.935,113.905,33.4251568038
"024DCB",22.643,113.828,"荔湾区",23.0984,113.239,78.8010279718
"024DCB",22.643,113.828,"莞城区",23.0385,113.749,44.7305548196
"024DCB",22.643,113.828,"莞城街道",23.0385,113.749,44.7305548196
"024DCB",22.643,113.828,"萝岗区",23.1738,113.509,67.4835688045
"024DCB",22.643,113.828,"蓬江区",22.612,113.068,78.1037376958
"024DCB",22.643,113.828,"虎门镇",22.8176,113.708,22.9939862399
"024DCB",22.643,113.828,"西区街道",22.5201,113.359,50.0696016075
"024DCB",22.643,113.828,"谢岗镇",22.9641,114.136,47.6758482377
"024DCB",22.643,113.828,"越秀区",23.0587,113.324,69.3305875203
"024DCB",22.643,113.828,"道滘镇",23.0044,113.675,43.1503871311
"024DCB",22.643,113.828,"金唐区",22.3804,113.54,41.5802801316
"024DCB",22.643,113.828,"金湾区",22.1313,113.383,73.034496804
"024DCB",22.643,113.828,"长安镇",22.7892,113.769,17.3519745656
"024DCB",22.643,113.828,"阜沙镇",22.6677,113.35,49.1421874393
"024DCB",22.643,113.828,"顺德区",22.8716,113.177,71.4509190919
"024DCB",22.643,113.828,"香洲区",22.271,113.539,50.9376193757
"024DCB",22.643,113.828,"高埗镇",22.8583,113.672,28.8019806586
"024DCB",22.643,113.828,"高新区",22.3978,113.343,56.807881448
"024DCB",22.643,113.828,"高明区",22.8715,112.862,102.29096319
"024DCB",22.643,113.828,"高要市",23.0463,112.555,137.983625189
"024DCB",22.643,113.828,"鹤山市",22.7592,112.969,89.0869358071
"024DCB",22.643,113.828,"麻涌镇",23.054,113.558,53.4400233742
"024DCB",22.643,113.828,"黄圃镇",22.7073,113.33,51.6088682289
"024DCB",22.643,113.828,"黄埔区",23.1005,113.477,62.3180062898
"024DCB",22.643,113.828,"黄江镇",22.9155,114.021,36.200341581
"024DCB",22.643,113.828,"鼎湖区",23.1852,112.574,141.925501995
"024DCB",22.643,113.828,"龙华新区",22.6685,114.018,19.7080758928
"024DCB",22.643,113.828,"龙岗区",22.6699,114.186,36.8689964847
"024DCB",22.643,113.828,"龙门县",23.1604,114.364,79.5498012956
"311DCA",23.143,114.42,"万江区",23.0261,113.706,74.2068583725
"311DCA",23.143,114.42,"万江街道",23.0471,113.738,70.5896065739
"311DCA",23.143,114.42,"东凤镇",22.7017,113.258,128.764892958
"311DCA",23.143,114.42,"东区街道",22.5137,113.399,125.917477143
"311DCA",23.143,114.42,"东升镇",22.6104,113.305,128.709183143
"311DCA",23.143,114.42,"东坑镇",22.9808,113.945,51.8516686689
"311DCA",23.143,114.42,"东城区",23.0216,113.772,67.6675732826
"311DCA",23.143,114.42,"东城街道",23.0281,113.783,66.4205811538
"311DCA",23.143,114.42,"东山区",23.1205,113.296,114.99798035
"311DCA",23.143,114.42,"东莞市",23.0205,113.752,69.6981944429
"311DCA",23.143,114.42,"丬乡镇",22.3582,113.441,133.057663963
"311DCA",23.143,114.42,"丬水区",23.1558,112.897,155.768989752
"311DCA",23.143,114.42,"丬角镇",22.5206,113.306,133.545588056
"311DCA",23.143,114.42,"中堂镇",23.1007,113.667,77.1715654681
"311DCA",23.143,114.42,"中山市",22.5257,113.382,126.637312459
"311DCA",23.143,114.42,"五桂山街道",22.4461,113.403,129.938698761
"311DCA",23.143,114.42,"从化区",23.5468,113.587,96.1980136811
"311DCA",23.143,114.42,"从化市",23.5237,113.599,93.9365782794
"311DCA",23.143,114.42,"企石镇",23.0588,114.028,41.1848683327
"311DCA",23.143,114.42,"光明新区",22.7489,113.936,66.1760666347
"311DCA",23.143,114.42,"凤岗镇",22.7542,114.086,55.1414449155
